WEG_L

 ======== test get_l2 ========= 

2026-02-10 16:57:09,674; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/WEG_L.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:57:25,587; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_i (tol=2.0, factor=3.5): filtering 0/6092
2026-02-10 16:57:25,665; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_i (tol=0.5, factor=2.0): filtering 0/6092
2026-02-10 16:57:25,794; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2026-02-10 16:57:25,974; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/flags/WEG_L.csv
2026-02-10 16:57:25,991; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-07 00:00:00 2024-01-09 00:00:00 dlr with RIME, flagged 0/6092
2026-02-10 16:57:25,994; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-07 00:00:00 2024-01-09 00:00:00 ulr with RIME, flagged 0/6092
2026-02-10 16:57:25,997; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-07 00:00:00 2024-01-09 00:00:00 dsr with RIME, flagged 0/6092
2026-02-10 16:57:26,000; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-01-07 00:00:00 2024-01-09 00:00:00 usr with RIME, flagged 0/6092
2026-02-10 16:57:26,003; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-03-09 00:00:00 2024-03-11 00:00:00 dlr with RIME, flagged 0/6092
2026-02-10 16:57:26,006; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-03-09 00:00:00 2024-03-11 00:00:00 ulr with RIME, flagged 0/6092
2026-02-10 16:57:26,009; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-03-09 00:00:00 2024-03-11 00:00:00 dsr with RIME, flagged 0/6092
2026-02-10 16:57:26,011; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2024-03-09 00:00:00 2024-03-11 00:00:00 usr with RIME, flagged 0/6092
2026-02-10 16:57:26,016; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_1 with NAN, flagged 1075/6092
2026-02-10 16:57:26,022; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_2 with NAN, flagged 1075/6092
2026-02-10 16:57:26,028; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_3 with NAN, flagged 1075/6092
2026-02-10 16:57:26,033; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_4 with NAN, flagged 1075/6092
2026-02-10 16:57:26,039; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_5 with NAN, flagged 1075/6092
2026-02-10 16:57:26,044; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_6 with NAN, flagged 1075/6092
2026-02-10 16:57:26,050; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_7 with NAN, flagged 1075/6092
2026-02-10 16:57:26,056; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-04-01 00:00:00 2023-06-29 01:00:00 t_i_8 with NAN, flagged 1075/6092
2026-02-10 16:57:26,060; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-08-28 00:00:00 2023-11-30 00:00:00 z_boom_u with NAN, flagged 0/6092
2026-02-10 16:57:26,064; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2023-09-11 00:00:00 2023-04-15 15:00:00 z_pt_cor with NAN, flagged 0/6092
2026-02-10 16:57:26,070; DEBUG; pypromice.core.qc.github_data_issues; ---> flagging 2022-08-14 16:40:00 2023-07-23 00:00:00 z_pt_cor with NAN, flagged 6092/6092
2026-02-10 16:57:26,235; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2026-02-10 16:57:26,253; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_1 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,258; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_2 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,263; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_3 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,268; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_4 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,272; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_5 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,277; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_6 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,282; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_7 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,286; DEBUG; pypromice.core.qc.github_data_issues; ---> None None t_i_8 min_filter -25.0 flagged 0/6092
2026-02-10 16:57:26,291; DEBUG; pypromice.core.qc.github_data_issues; ---> None 2024-01-01 12:00:00 z_boom_cor_u max_filter 2.26 flagged 0/6092
2026-02-10 16:57:26,293; INFO; pypromice.core.qc.github_data_issues; could not adjust z_surf_2 not in dataset
2026-02-10 16:57:27,020; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:57:27,104; INFO; pypromice.io.write; Resampling to 10min
2026-02-10 16:57:27,195; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:57:27,822; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_10min.csv
2026-02-10 16:57:27,822; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_10min.nc
2026-02-10 16:57:27,835; WARNING; pypromice.pipeline.resample; Dropping QC columns because they are of type object and cannot be resampled
2026-02-10 16:57:27,989; INFO; pypromice.io.write; Resampling to 60min
2026-02-10 16:57:28,086; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:57:28,562; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_hour.csv
2026-02-10 16:57:28,562; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_hour.nc

 ======== test join_l2 ========= 

2026-02-10 16:57:30,297; INFO; pypromice.pipeline.join_l2; WEG_L array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_hour.nc
2026-02-10 16:57:30,621; INFO; pypromice.pipeline.join_l2; WEG_L array loaded from /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/WEG_L/WEG_L_hour.nc
2026-02-10 16:57:30,621; INFO; pypromice.pipeline.join_l2; Combining /media/ice/Baptiste/geussnow01/aws-dev/L2_test/raw/WEG_L/WEG_L_hour.nc with /media/ice/Baptiste/geussnow01/aws-dev/L2_test/tx/WEG_L/WEG_L_hour.nc...
2026-02-10 16:57:30,822; INFO; pypromice.io.write; Writing to files...
2026-02-10 16:57:32,381; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/WEG_L/WEG_L_hour.csv
2026-02-10 16:57:32,381; INFO; pypromice.io.write; Written to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/WEG_L/WEG_L_hour.nc
2026-02-10 16:57:32,382; INFO; pypromice.pipeline.join_l2; Files saved to /media/ice/Baptiste/geussnow01/aws-dev/L2_test/level_2/WEG_L...

 ======== test l2tol3 ========= 

2026-02-10 16:57:32,655; WARNING; root; data_issues_path is missing. Using default data issues path: ../PROMICE-AWS-data-issues
2026-02-10 16:57:34,796; INFO; pypromice.pipeline.L2toL3; processing gps_lat without relocation
2026-02-10 16:57:34,800; INFO; pypromice.pipeline.L2toL3; processing gps_lon without relocation
2026-02-10 16:57:34,803; INFO; pypromice.pipeline.L2toL3; processing gps_alt without relocation
2026-02-10 16:57:34,824; INFO; pypromice.core.qc.github_data_issues; Using file: ../PROMICE-AWS-data-issues/adjustments/WEG_L.csv
2026-02-10 16:57:34,838; DEBUG; pypromice.core.qc.github_data_issues; ---> 2023-07-01 00:00:00 2023-09-01 00:00:00 z_surf_2 add 0.3
2026-02-10 16:57:34,839; DEBUG; pypromice.core.qc.github_data_issues; ---> 2023-07-18 00:00:00 None z_surf_2 add -0.3
2026-02-10 16:57:34,840; INFO; pypromice.pipeline.L2toL3; Combining surface height
2026-02-10 16:57:34,840; INFO; pypromice.pipeline.L2toL3; -> ablation site
2026-02-10 16:57:34,943; DEBUG; pypromice.pipeline.L2toL3; -> estimating ablation period for each year
2026-02-10 16:57:34,946; DEBUG; pypromice.pipeline.L2toL3; 2022 no z_ice_surf, just using JJA
2026-02-10 16:57:34,947; DEBUG; pypromice.pipeline.L2toL3; 2023 derived from z_ice_surf
2026-02-10 16:57:34,949; DEBUG; pypromice.pipeline.L2toL3; 2024 no z_ice_surf, just using JJA
2026-02-10 16:57:34,952; DEBUG; pypromice.pipeline.L2toL3; 2025 no z_ice_surf, just using JJA
