SCO_U

 ======== test get_l2 ========= 

2026-02-10 16:36:59,423; DEBUG; pypromice.pipeline.aws; AWS(config_file=../aws-l0//tx/config/SCO_U.toml, inpath=../aws-l0//tx/, data_issues_repository=../PROMICE-AWS-data-issues, var_file=None, meta_file=None)
2026-02-10 16:37:08,932; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2012_raw.txt
2026-02-10 16:37:09,823; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2012_raw.txt
2026-02-10 16:37:09,830; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2014_raw.txt
2026-02-10 16:37:10,391; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2014_raw.txt
2026-02-10 16:37:10,963; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2014_raw.txt
2026-02-10 16:37:10,970; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/SCO_U/SCO_U_2015_raw_transmitted.txt
2026-02-10 16:37:10,994; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2015_raw_transmitted.txt
2026-02-10 16:37:11,571; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2017_raw_SlimTableMem.txt
2026-02-10 16:37:11,607; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2017_raw_SlimTableMem.txt
2026-02-10 16:37:11,681; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2017_raw_SlimTableMem.txt
2026-02-10 16:37:11,686; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2020_raw.txt
2026-02-10 16:37:12,165; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2020_raw.txt
2026-02-10 16:37:13,068; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2020_raw.txt
2026-02-10 16:37:13,586; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2022_raw_SlimTableMem.txt
2026-02-10 16:37:13,620; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2022_raw_SlimTableMem.txt
2026-02-10 16:37:13,689; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2022_raw_SlimTableMem.txt
2026-02-10 16:37:13,696; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/SCO_U/SCO_U_2022_raw_transmitted.txt
2026-02-10 16:37:13,710; INFO; pypromice.io.ingest.l0; Detected L0 file type 'csv_default' for ../aws-l0/raw/SCO_U/SCO_U_2022_raw_transmitted.txt
2026-02-10 16:37:13,743; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2022_raw_transmitted.txt
2026-02-10 16:37:13,749; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2024_raw.txt
2026-02-10 16:37:14,000; INFO; pypromice.io.ingest.l0; Detected L0 file type 'toa5' for ../aws-l0/raw/SCO_U/SCO_U_2024_raw.txt
2026-02-10 16:37:14,452; INFO; pypromice.io.ingest.l0; L0 data successfully loaded from SCO_U_2024_raw.txt
2026-02-10 16:37:14,529; INFO; pypromice.pipeline.aws; Level 1 processing...
2026-02-10 16:37:36,948; INFO; pypromice.pipeline.aws; Level 2 processing...
2026-02-10 16:37:55,044; DEBUG; pypromice.core.qc.persistence; Running persistence_qc using {'t_i': {'max_diff': 0.0001, 'period': 2}, 't_u': {'max_diff': 0.0001, 'period': 2}, 't_l': {'max_diff': 0.0001, 'period': 2}, 'p_i': {'max_diff': 0.0001, 'period': 3}, 'p_u': {'max_diff': 0.0001, 'period': 150}, 'p_l': {'max_diff': 0.0001, 'period': 150}, 'gps_lat_lon': {'max_diff': 1e-06, 'period': 6}, 'gps_alt': {'max_diff': 0.0001, 'period': 6}, 't_rad': {'max_diff': 0.0001, 'period': 2}, 'rh_i': {'max_diff': 0.0001, 'period': 2}, 'rh_u': {'max_diff': 0.0001, 'period': 2}, 'rh_l': {'max_diff': 0.0001, 'period': 2}, 'wspd_i': {'max_diff': 0.0001, 'period': 6}, 'wspd_u': {'max_diff': 0.0001, 'period': 6}, 'wspd_l': {'max_diff': 0.0001, 'period': 6}}
2026-02-10 16:38:03,042; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 74/575658
2026-02-10 16:38:10,099; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on p_u (tol=1.0, factor=2.0): filtering 38/575658
2026-02-10 16:38:10,868; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 115/575658
2026-02-10 16:38:18,083; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_u (tol=3.0, factor=2.2): filtering 4/575658
2026-02-10 16:38:18,831; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 11/575658
2026-02-10 16:38:26,041; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on rh_u (tol=2.0, factor=3.5): filtering 0/575658
2026-02-10 16:38:26,808; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 62/575658
2026-02-10 16:38:33,997; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on wspd_u (tol=0.5, factor=2.0): filtering 10/575658
2026-02-10 16:38:34,680; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 250/575658
2026-02-10 16:38:42,258; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_1 (tol=0.5, factor=1.5): filtering 49/575658
2026-02-10 16:38:42,918; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 631/575658
2026-02-10 16:38:50,006; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_2 (tol=0.5, factor=1.5): filtering 161/575658
2026-02-10 16:38:50,669; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 617/575658
2026-02-10 16:38:57,879; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_3 (tol=0.5, factor=1.5): filtering 115/575658
2026-02-10 16:38:58,535; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 710/575658
2026-02-10 16:39:06,442; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_4 (tol=0.5, factor=1.5): filtering 218/575658
2026-02-10 16:39:07,089; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 580/575658
2026-02-10 16:39:14,861; INFO; pypromice.core.qc.rate_of_change_filter; ROC filter on t_i_5 (tol=0.5, factor=1.5): filtering 161/575658
